gp_id,gp_name,lang_name
984,Balligeri,ಬಳ್ಳಿಗೇರಿ
985,Ballolli,ಬಳ್ಳೊಳ್ಳಿ
986,Ballupet,ಬಾಳ್ಳುಪೇಟೆ
987,Balluru,ಬಳ್ಳೂರು
988,Ballyamandur,ಅಣದೂರ
989,Balnad,ಬಲ್ನಾಡು
990,Balobal,ಬಳೋಬಾಳ
991,Balpa,ಬಳ್ಪ
992,Balthila,ಬಾಳ್ತಿಲ
993,Balundagi 38,ಬಳುಂಡಗಿ
994,Balur,ಬಾಳೂರ
995,Baluragi,ಬಾಳೂರ
996,Baluru,ಬಳ್ಳೂರು
997,Balutagi,ಬಳ್ಳೂಟಗಿ
998,Baluvaneralu,ಬಳುವನೇರಲು
999,Bambalwad,ಬಂಬಲವಾಡ
1000,Bambarga,ಬಂಬರಗೆ
1001,Bammanhalli,ಬಮ್ಮನಹಳ್ಳಿ
1002,Bammigatti,ಬಮ್ಮಿಗಟ್ಟಿ
1003,Banagahalli,ಬನಹಳ್ಳಿ
1004,Banahalli,ಬನಹಳ್ಳಿ
1005,Banahatti,ಬನಹಟ್ಟ
1007,Banakal,ಬಣಕಲ್‌
1008,Banasandra,ಬಾಣಸಂದ್ರ
1009,Banashankari,ಬನಶಂಕರಿ
1010,Banavadi,ಬಾಣವಾಡಿ
1011,Banavara,ಬಾಣಾವರ
1012,Banavasi,ಬನವಾಸಿ
1013,Banavikallu,ಬಣವಿಕಲ್ಲು
1014,Bandakunte,ಬಂದಕುಂಟೆ
1015,Bandal,ಬಂದಾಳ
1016,Bandala,ಬಂದಾಳ
1017,Bandalli,ಬಂಡಳ್ಳಿ
1018,Bandaru,ಬಂದಾರು
1019,Bandarwad,ಬಂದರವಾಡ
1020,Bandhya-kukke,ಬಂದ್ಯಾ ಕುಕ್ಕೆ
1021,Bandi,ಬಂಡಿ
1022,Bandigadi,ಭಂಡಿಗಡಿ
1023,Bandiharlapur,ಬಂಡಿ ಹರ್ಲಾಪೂರ
1024,Bandihole (hemagiri),ಐಹೊಳೆ
1025,Bandikodigehalli,ಬಂಡಿಕೊಡಗೆಹಳ್ಳಿ
1026,Bandri,ಬಂಡ್ರಿ
1027,Bandur,ಬಂದೂರು
1028,Banduru varagerehalli,ಅಣದೂರ
1029,Bangalore,ಮಂಗಳೂರ
1030,Bangalore mahanagara palike,ಅಳಿಕೆ
1030,Bangalore mahanagara palike,ಅಳಿಕೆ
