gpid,designation,name
4424,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಗಿರೀಶ್. ಎಂ
4424,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಆನಂದ. ಎಂ
1443,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಕದಿರಮ್ಮ 
1443,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಡಿ. ಎಸ್. ಮಂಜುನಾಥ 
1443,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರೂಪ. ಎನ್
1443,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶಫಿವುಲ್ಲಾ ಸಾಬ್
4496,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಲಕ್ಷ್ಮೀ ದೇವಮ್ಮ 
4496,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಬಾಲಕೃಷ್ಣ. ಆರ್. ಎನ್ 
4496,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಅಶೋಕ. ಎಂ
4496,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮಂಜು ಎಂ.ಎನ್ 
2316,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಸಿ.ವಿ.ವರಲಕ್ಷ್ಮೀ 
2316,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಶ್ರೀನಿವಾಸ್. ಪು.ರಾ 
2316,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮಂಜುಳ. ಎನ್ 
2316,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಕಾವ್ಯ. ಎಚ್.ಎಸ್
5982,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ನವೀನ್ ಕುಮಾರ್ .ಎಸ್.ಎಮ್ 
5982,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಬಾಲಕೃಷ್ಣ. ಆರ್. ಎನ್ 
5982,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮಂಜುಳ. ವಿ
5982,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಜ್ಯೋತಿ
5743,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ನಾಗರತ್ನಮ್ಮ 
5743,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಶ್ರೀನಿವಾಸ್. ಪು.ರಾ 
5743,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಆಯೇಶಾ ಕೌಸರ್
5743,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಪುಷ್ಪ. ಟಿ.ಎ
1585,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಸುರೇಶ್ ಬಾಬು
1585,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಚಂದ್ರಶೇಖರ. ಎಮ್. ಕಾರಟಗಿ 
1585,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ತಿಮ್ಮಪ್ಪ
1585,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಕೃಷ್ಣಪ್ಪ
1906,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಎನ್.ಡಿ. ಪ್ರಕಾಶ ರೆಡ್ಡಿ 
1906,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಚಂದ್ರಶೇಖರ. ಎಮ್. ಕಾರಟಗಿ 
1906,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶ್ರೀನಾಥ
1906,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ
2011,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಹೇಮಲತಾ 
2011,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಸತ್ಯ ಪ್ರಸಾದ್. ಬಿ.ಎನ್ 
2011,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಭರತ್ ಕುಮಾರ್. ಜಿ.ಎ 
2011,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರಕ್ಷಿತಾ. ಜಿ.ಸಿ
1999,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಸೋಮಕ್ಕ 
1999,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಚನ್ನಕೃಷ್ಣಪ್ಪ 
1999,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ. ಎನ್
1999,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ
